time (msec),x axis,y axis,z axis
6420,3428,-15564,1072
6430,3392,-15508,892
6440,3428,-15468,928
6450,3248,-15716,752
6460,3212,-15436,776
6470,3148,-15604,516
6480,3096,-15828,812
6490,3280,-15868,488
6500,3220,-16164,792
6510,3336,-15808,868
6520,3180,-15860,728
6530,3252,-15488,1188
6540,3208,-16080,552
6550,3540,-16040,780
6560,3564,-16156,996
6570,3632,-16036,860
6580,3496,-16196,932
6590,3376,-16120,1200
6600,3532,-15956,1264
6610,3472,-16300,1160
6620,3564,-16188,968
6630,3688,-15656,1304
6640,3324,-15800,1248
6650,3268,-16184,1164
6660,3112,-16224,1280
6670,3156,-15964,1228
6680,3216,-15876,1352
6690,3228,-15504,1084
6700,3044,-15432,1088
6710,2980,-15472,1244
6720,2980,-15400,1264
6730,3020,-15552,1140
6740,3032,-15452,1140
6750,3036,-15276,1032
6760,3072,-15468,1120
6770,2948,-15484,1208
6780,3032,-15820,1292
6790,3136,-15552,1112
6800,3048,-15584,1204
6810,3096,-15480,1360
6820,3232,-15732,1120
6830,3260,-15760,1384
6840,3288,-15808,1488
6850,3260,-15716,1116
6860,3444,-15892,1072
6870,3596,-15868,1224
6880,3780,-15884,952
6890,4040,-15928,800
6900,3772,-15900,1076
6910,3520,-16192,1244
6920,3532,-15908,816
6930,3800,-16120,736
6940,3780,-15896,892
6950,3820,-15900,900
6960,3844,-16180,744
6970,3760,-16072,812
6980,3816,-16008,356
6990,3704,-16028,780
7000,3880,-15724,392
7010,3960,-16060,80
7020,3964,-15992,380
7030,3860,-16004,396
7040,3728,-16280,756
7050,3724,-16112,460
7060,3700,-16320,468
7070,3832,-16188,260
7080,4008,-16156,140
7090,3780,-16356,132
7100,3768,-16056,-24
7110,3772,-16140,76
7120,3780,-15900,-136
7130,3668,-16120,-204
7140,3760,-15976,64
7150,3748,-15852,16
7160,3888,-15876,-152
7170,3928,-15868,-56
7180,3968,-15972,-20
7190,3972,-15900,-212
7200,3944,-16384,-112
7210,3992,-16128,-44
7220,4072,-16216,-212
7230,3936,-16444,-336
7240,3736,-16376,60
7250,4028,-16012,-360
7260,4080,-15896,-752
7270,4180,-15988,-436
7280,4216,-15904,-600
7290,4100,-16008,-656
7300,4092,-16052,-540
7310,4132,-15756,-700
7320,4136,-15996,-928
7330,4176,-16040,-748
7340,4024,-16040,-760
7350,4084,-16148,-628
7360,3908,-16344,-912
7370,3684,-16276,-1124
7380,3780,-16256,-892
7390,3752,-16128,-960
7400,3812,-16140,-1116
7410,3832,-16084,-1080
7420,3904,-16252,-1368
7430,3972,-16280,-1160
7440,3988,-16004,-932
7450,3980,-16064,-1436
7460,4032,-15584,-1456
7470,4324,-15604,-1464
7480,4268,-15696,-1268
7490,4256,-15788,-1528
7500,4280,-16148,-1388
7510,4172,-16116,-1624
7520,4208,-15844,-1560
7530,4284,-16316,-1540
7540,4356,-16212,-1900
7550,4624,-15992,-1680
7560,4808,-16300,-1436
7570,4664,-16096,-1400
7580,4744,-16000,-1864
7590,4788,-16168,-1576
7600,4904,-16008,-1348
7610,4412,-16332,-1788
